team_name,short_name,tla,stadium,founded,colors,website,coach_name,coach_nationality,crest_url
Arsenal FC,Arsenal,ARS,Emirates Stadium,1886,Red / White,http://www.arsenal.com,Mikel Arteta,Spain,https://crests.football-data.org/57.png
Aston Villa FC,Aston Villa,AVL,Villa Park,1872,Claret / Sky Blue,http://www.avfc.co.uk,Unai Emery,Spain,https://crests.football-data.org/58.png
Chelsea FC,Chelsea,CHE,Stamford Bridge,1905,Royal Blue / White,http://www.chelseafc.com,Calum McFarlane,England,https://crests.football-data.org/61.png
Everton FC,Everton,EVE,Goodison Park,1878,Blue / White,http://www.evertonfc.com,David Moyes,Scotland,https://crests.football-data.org/62.png
Fulham FC,Fulham,FUL,Craven Cottage,1879,White / Black,http://www.fulhamfc.com,Marco Silva,Portugal,https://crests.football-data.org/63.png
Liverpool FC,Liverpool,LIV,Anfield,1892,Red / White,http://www.liverpoolfc.tv,Arne Slot,Netherlands,https://crests.football-data.org/64.png
Manchester City FC,Man City,MCI,Etihad Stadium,1880,Sky Blue / White,https://www.mancity.com,Pep Guardiola,Spain,https://crests.football-data.org/65.png
Manchester United FC,Man United,MUN,Old Trafford,1878,Red / White,http://www.manutd.com,Michael Carrick,England,https://crests.football-data.org/66.png
Newcastle United FC,Newcastle,NEW,St. James' Park,1881,Black / White,http://www.nufc.co.uk,Eddie Howe,England,https://crests.football-data.org/67.png
Tottenham Hotspur FC,Tottenham,TOT,Tottenham Hotspur Stadium,1882,Navy Blue / White,http://www.tottenhamhotspur.com,Roberto De Zerbi,Italy,https://crests.football-data.org/73.png
Wolverhampton Wanderers FC,Wolverhampton,WOL,Molineux Stadium,1877,Black / Gold,http://www.wolves.co.uk,Rob Edwards,Wales,https://crests.football-data.org/76.png
Leicester City FC,Leicester City,LEI,King Power Stadium,1884,Royal Blue / White,http://www.lcfc.com,Gary Rowett,England,https://crests.football-data.org/338.png
Southampton FC,Southampton,SOU,St. Mary's Stadium,1885,Red / White / Black,http://www.saintsfc.co.uk,Tonda Eckert,Germany,https://crests.football-data.org/340.png
Ipswich Town FC,Ipswich Town,IPS,Portman Road Stadium,1887,Blue / White,http://www.itfc.co.uk,Kieran McKenna,Northern Ireland,https://crests.football-data.org/349.png
Nottingham Forest FC,Nottingham,NOT,The City Ground,1865,Red / White,http://www.nottinghamforest.co.uk,Vítor Pereira,Portugal,https://crests.football-data.org/351.png
Crystal Palace FC,Crystal Palace,CRY,Selhurst Park,1905,Red / Blue,http://www.cpfc.co.uk,Oliver Glasner,Austria,https://crests.football-data.org/354.png
Brighton & Hove Albion FC,Brighton Hove,BHA,The American Express Community Stadium,1898,Blue / White,http://www.seagulls.co.uk,Fabian Hürzeler,Germany,https://crests.football-data.org/397.png
Brentford FC,Brentford,BRE,Griffin Park,1889,Red / White / Black,http://www.brentfordfc.co.uk,Keith Andrews,Ireland,https://crests.football-data.org/402.png
West Ham United FC,West Ham,WHU,London Stadium,1895,Claret / Sky Blue,http://www.whufc.com,Nuno Espírito Santo,Portugal,https://crests.football-data.org/563.png
AFC Bournemouth,Bournemouth,BOU,Vitality Stadium,1890,Red / Black,http://www.afcb.co.uk,Iraola,Spain,https://crests.football-data.org/bournemouth.png
